FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  nuc_47 → rockpi_74: 91.55 MB in 186.50 s
  nuc_47 → rockpi_75: 45.78 MB in 156.70 s
  nuc_47 → rockpi_76: 45.78 MB in 187.15 s
  nuc_47 → rockpi_79: 45.78 MB in 228.52 s
  nuc_47 → rockpi_8: 137.33 MB in 296.26 s
  nuc_47 → rockpi_82: 91.55 MB in 444.90 s
  nuc_47 → rockpi_84: 91.55 MB in 222.25 s
  nuc_47 → rockpi_85: 91.55 MB in 456.98 s
  nuc_47 → rockpi_86: 45.78 MB in 214.84 s
  nuc_47 → rockpi_87: 45.78 MB in 84.81 s
  nuc_47 → rockpi_88: 45.78 MB in 120.70 s
  nuc_47 → rockpi_89: 91.55 MB in 451.16 s
  nuc_47 → rockpi_9: 91.55 MB in 258.41 s
  nuc_47 → rockpi_90: 91.55 MB in 327.45 s
  nuc_47 → rockpi_91: 45.78 MB in 83.90 s
  nuc_47 → rockpi_92: 91.55 MB in 204.91 s
  nuc_47 → rockpi_94: 137.33 MB in 280.25 s
  nuc_47 → rockpi_95: 91.55 MB in 3.77 s
  nuc_47 → rockpi_96: 91.55 MB in 448.52 s
  nuc_47 → rockpi_98: 45.78 MB in 229.08 s
  nuc_47 → rpi3_102: 98.23 MB in 327.26 s
  nuc_47 → rpi3_103: 98.23 MB in 329.13 s
  nuc_47 → rpi3_104: 98.23 MB in 329.52 s
  nuc_47 → rpi3_105: 98.23 MB in 392.27 s
  nuc_47 → rpi3_106: 98.23 MB in 392.30 s
  nuc_47 → rpi3_107: 98.23 MB in 391.74 s
  nuc_47 → rpi3_108: 98.23 MB in 359.33 s
  nuc_47 → rpi3_109: 98.23 MB in 359.09 s
  nuc_47 → rpi3_110: 98.23 MB in 359.09 s
  nuc_47 → rpi3_111: 98.23 MB in 252.89 s
  nuc_47 → rpi3_112: 98.23 MB in 253.15 s
  nuc_47 → rpi3_113: 98.23 MB in 252.84 s
  nuc_47 → rpi3_120: 144.00 MB in 313.27 s
  nuc_47 → rpi3_121: 98.23 MB in 88.98 s
  nuc_47 → rpi3_122: 45.78 MB in 28.47 s
  nuc_47 → rpi3_123: 45.78 MB in 156.14 s
  nuc_47 → rpi3_124: 45.78 MB in 156.13 s
  nuc_47 → rpi3_125: 45.78 MB in 156.05 s
  nuc_47 → rpi3_129: 45.78 MB in 225.37 s
  nuc_47 → rpi3_130: 45.78 MB in 225.49 s
  nuc_47 → rpi3_131: 45.78 MB in 225.40 s
  nuc_47 → rpi3_132: 45.78 MB in 20.73 s
  nuc_47 → rpi3_133: 45.78 MB in 20.74 s
  nuc_47 → rpi3_134: 45.78 MB in 20.75 s
  nuc_47 → rpi3_135: 98.23 MB in 388.77 s
  nuc_47 → rpi3_136: 98.23 MB in 388.22 s
  nuc_47 → rpi3_137: 45.78 MB in 147.08 s
  nuc_47 → rpi3_138: 98.23 MB in 384.12 s
  nuc_47 → rpi3_139: 98.23 MB in 383.69 s
  nuc_47 → rpi3_140: 45.78 MB in 138.10 s
  nuc_47 → rpi3_148: 98.23 MB in 174.08 s
  nuc_47 → rpi3_149: 98.23 MB in 172.28 s
  nuc_47 → rpi3_158: 45.78 MB in 217.98 s
  nuc_47 → rpi3_159: 45.78 MB in 203.11 s
  nuc_47 → rpi3_165: 45.78 MB in 2.35 s
  nuc_47 → rpi3_168: 98.23 MB in 329.23 s
